Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
115	20583.0	False	1.03	-0.02	-0.09	-0.03	-0.08	0.18	22.71	21.14
116	20550.0	False	1.03	-0.03	-0.09	-0.15	0.05	-0.12	22.71	21.19
117	20506.0	False	1.03	-0.02	-0.09	-0.02	-0.03	-0.17	22.71	21.09
118	20466.0	False	1.02	-0.02	-0.09	0.09	-0.06	0.12	22.79	21.09
119	20461.0	False	1.03	-0.02	-0.09	0.02	0.18	0.08	22.71	21.09
120	20439.0	False	1.03	-0.02	-0.09	-0.06	-0.11	0.24	22.79	21.14
121	20427.0	False	1.03	-0.02	-0.09	-0.02	-0.03	0.14	22.79	21.19
122	20463.0	False	1.03	-0.02	-0.09	0.05	-0.11	-0.18	22.71	21.09
123	20420.0	False	1.03	-0.02	-0.09	-0.03	0.03	-0.08	22.71	21.14
124	20447.0	False	1.03	-0.02	-0.09	0.08	-0.11	0.03	22.79	21.14
125	20448.0	False	1.03	-0.02	-0.09	0.08	0.09	-0.06	22.71	21.14
126	20463.0	False	1.03	-0.02	-0.08	-0.03	-0.08	-0.06	22.79	21.14
127	20456.0	False	1.03	-0.02	-0.09	0.15	0.0	0.0	22.79	21.09
128	20494.0	False	1.03	-0.02	-0.09	-0.08	0.21	0.05	22.79	21.09
129	20458.0	False	1.02	-0.03	-0.09	-0.11	-0.15	-0.11	22.79	21.19
130	20499.0	False	1.03	-0.02	-0.09	-0.05	-0.14	-0.02	22.79	21.19
131	20453.0	False	1.03	-0.02	-0.09	-0.02	-0.02	-0.02	22.71	21.23
132	20468.0	False	1.03	-0.03	-0.09	-0.03	0.06	0.03	22.79	21.28
133	20450.0	False	1.02	-0.01	-0.08	0.05	-0.14	0.02	22.79	21.04
134	20430.0	False	1.03	-0.02	-0.09	0.09	0.08	0.29	22.79	21.09
135	15665.0	False	1.02	-0.02	-0.09	-0.02	0.05	-0.05	22.79	21.14
136	15667.0	False	1.03	-0.03	-0.09	0.0	0.08	0.05	22.79	21.14
137	15665.0	False	1.03	-0.02	-0.08	0.05	0.05	0.05	22.71	21.04
138	15667.0	False	1.02	-0.03	-0.09	0.21	-0.06	0.12	22.71	21.04
139	15666.0	False	1.02	-0.02	-0.09	0.02	-0.15	0.09	22.71	21.14
140	15666.0	False	1.04	-0.02	-0.08	0.09	0.03	-0.11	22.71	21.14
141	15670.0	False	1.03	-0.01	-0.09	0.08	0.08	-0.06	22.71	21.19
142	15666.0	False	1.02	-0.02	-0.09	0.11	-0.17	0.11	22.79	21.19
143	15667.0	False	1.03	-0.02	-0.09	-0.2	0.05	-0.34	22.79	21.09
144	15667.0	False	1.03	-0.02	-0.08	-0.08	-0.06	0.08	22.79	21.14
145	15666.0	False	1.03	-0.02	-0.08	0.14	0.02	-0.06	22.79	21.19
146	15666.0	False	1.02	-0.02	-0.09	0.21	0.05	0.15	22.71	21.14
147	15667.0	False	1.03	-0.02	-0.1	-0.09	0.06	-0.15	22.79	21.19
148	15666.0	False	1.03	-0.02	-0.1	0.02	0.05	0.09	22.79	21.19
149	15666.0	False	1.03	-0.02	-0.09	0.06	0.09	0.12	22.79	21.14
150	15667.0	False	1.03	-0.02	-0.09	0.0	0.03	0.09	22.79	21.14
151	15666.0	False	1.03	-0.02	-0.08	-0.06	-0.32	-0.06	22.79	21.19
152	15667.0	False	1.03	-0.02	-0.09	-0.03	-0.2	0.02	22.71	21.19
153	15667.0	False	1.03	-0.02	-0.08	0.03	-0.05	0.05	22.79	21.14
154	15667.0	False	1.03	-0.02	-0.09	0.02	0.21	0.02	22.79	21.09
155	15668.0	False	1.02	-0.02	-0.09	0.08	-0.09	0.03	22.79	21.09
156	15668.0	False	1.03	-0.02	-0.09	0.21	0.0	0.03	22.79	21.14
157	15667.0	False	1.02	-0.02	-0.09	-0.11	0.08	0.02	22.71	21.14
158	15667.0	False	1.03	-0.02	-0.09	-0.03	0.06	-0.03	22.79	21.09
159	15667.0	False	1.03	-0.02	-0.09	0.08	-0.02	-0.03	22.79	21.14
160	15667.0	False	1.03	-0.02	-0.09	0.06	-0.06	0.03	22.79	21.19
161	15667.0	False	1.03	-0.03	-0.08	0.0	-0.06	0.02	22.79	21.14
162	15666.0	False	1.03	-0.02	-0.09	0.02	0.17	0.06	22.79	21.23
163	15667.0	False	1.03	-0.02	-0.09	0.02	0.21	-0.05	22.79	21.19
164	15667.0	False	1.03	-0.02	-0.09	-0.09	-0.08	0.14	22.71	21.09
165	15667.0	False	1.03	-0.02	-0.09	0.05	0.03	-0.09	22.79	21.19
166	15667.0	False	1.03	-0.02	-0.09	-0.14	0.03	-0.05	22.79	21.09
167	15667.0	False	1.03	-0.02	-0.09	-0.05	-0.05	0.05	22.79	21.04
168	15667.0	False	1.03	-0.02	-0.09	-0.15	-0.2	0.09	22.79	21.14
169	15416.0	False	1.03	-0.02	-0.08	0.03	-0.05	0.06	22.71	21.09
170	15667.0	False	1.03	-0.02	-0.09	0.09	0.15	-0.17	22.79	21.19
171	15667.0	False	1.03	-0.02	-0.08	-0.15	0.18	-0.06	22.79	21.04
172	15667.0	False	1.03	-0.02	-0.08	-0.05	0.05	-0.09	22.71	21.09
173	15666.0	False	1.03	-0.02	-0.07	0.08	-0.02	-0.06	22.79	21.09
174	15666.0	False	1.03	-0.02	-0.09	0.05	0.03	0.18	22.79	21.14
175	15667.0	False	1.03	-0.02	-0.09	0.14	0.09	-0.11	22.79	21.14
176	15666.0	False	1.03	-0.02	-0.09	0.05	-0.02	0.2	22.79	21.04
177	15667.0	False	1.03	-0.02	-0.09	0.11	0.03	0.06	22.79	21.14
178	15667.0	False	1.02	-0.02	-0.08	-0.09	0.12	0.05	22.79	21.14
179	15667.0	False	1.03	-0.03	-0.09	-0.11	0.03	-0.03	22.79	21.23
180	15667.0	False	1.03	-0.02	-0.09	0.03	0.12	-0.2	22.79	21.09
181	15668.0	False	1.03	-0.02	-0.08	-0.02	-0.21	0.05	22.71	21.09
182	15667.0	False	1.03	-0.02	-0.09	-0.06	-0.09	-0.12	22.71	21.19
183	15667.0	False	1.03	-0.02	-0.09	-0.11	0.14	-0.02	22.79	21.19
184	15667.0	False	1.02	-0.02	-0.09	0.12	-0.03	0.03	22.71	21.23
185	15667.0	False	1.03	-0.02	-0.08	0.05	-0.02	0.11	22.79	21.14
186	15667.0	False	1.03	-0.03	-0.08	-0.06	-0.06	-0.14	22.79	21.19
187	15667.0	False	1.03	-0.02	-0.08	0.0	-0.23	-0.14	22.79	21.19
188	15667.0	False	1.03	-0.02	-0.09	0.03	0.05	-0.12	22.79	21.09
189	15667.0	False	1.03	-0.02	-0.09	-0.12	-0.09	-0.08	22.79	21.14
190	15666.0	False	1.03	-0.02	-0.09	-0.15	-0.02	0.12	22.79	21.14
191	15667.0	False	1.03	-0.03	-0.09	-0.15	0.02	-0.14	22.71	21.19
192	15666.0	False	1.03	-0.02	-0.09	-0.08	0.05	0.15	22.79	21.14
193	15666.0	False	1.03	-0.03	-0.09	0.0	-0.34	0.02	22.79	21.23
194	15667.0	False	1.03	-0.02	-0.09	0.0	-0.02	0.02	22.71	21.14
195	15667.0	False	1.03	-0.02	-0.09	-0.03	0.2	0.17	22.71	21.09
196	15668.0	False	1.02	-0.02	-0.09	0.12	0.09	0.32	22.79	21.19
197	15668.0	False	1.03	-0.02	-0.09	-0.12	0.03	0.17	22.71	21.19
198	15667.0	False	1.03	-0.02	-0.09	0.06	0.12	0.03	22.79	21.09
199	15666.0	False	1.03	-0.02	-0.09	-0.06	-0.09	0.05	22.79	21.14
200	15667.0	False	1.03	-0.02	-0.09	-0.06	0.08	-0.06	22.79	21.14
201	15669.0	False	1.03	-0.02	-0.09	-0.2	0.08	0.03	22.71	21.14
202	15667.0	False	1.03	-0.02	-0.09	0.03	-0.09	-0.08	22.79	21.19
203	15668.0	False	1.02	-0.02	-0.09	0.08	-0.03	-0.09	22.71	21.19
204	15669.0	False	1.03	-0.02	-0.09	0.11	0.15	-0.17	22.79	21.23
205	15667.0	False	1.04	-0.02	-0.09	-0.15	0.09	0.29	22.79	21.09
206	15667.0	False	1.04	-0.02	-0.09	0.03	0.24	0.11	22.79	21.04
207	15666.0	False	1.03	-0.01	-0.09	-0.17	-0.06	0.0	22.79	21.19
208	12905.0	False	1.03	-0.02	-0.09	-0.09	0.12	-0.34	22.79	21.09
209	12917.0	False	1.03	-0.03	-0.09	-0.08	0.09	-0.21	22.79	21.14
210	12923.0	False	1.03	-0.02	-0.09	-0.09	0.15	0.06	22.79	21.19
211	12924.0	False	1.03	-0.02	-0.09	-0.03	-0.05	0.0	22.71	21.23
212	12930.0	False	1.03	-0.02	-0.09	0.05	-0.17	-0.03	22.79	21.14
213	12923.0	False	1.03	-0.02	-0.08	-0.14	0.06	0.09	22.88	21.14
214	12940.0	False	1.02	-0.02	-0.09	0.17	0.08	0.0	22.79	21.14
