Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
14.310,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.320,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.330,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.340,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.350,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.360,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.370,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.380,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.390,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.400,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.410,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.420,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.430,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.440,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.450,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.460,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.470,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.480,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.490,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.500,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.510,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.520,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.530,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.540,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.550,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.560,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.570,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.580,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.590,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.600,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.610,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.620,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.630,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.640,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.650,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.660,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.670,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.680,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.690,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.700,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.710,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.720,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.730,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.740,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.750,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.760,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.770,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.780,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.790,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.800,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.810,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.820,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.830,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.840,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.850,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.860,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.870,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.880,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.890,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.900,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.910,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.920,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.930,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.940,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.950,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.960,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.970,1150.0,True,0,0,0,0,0,0,23.75294117647059
14.980,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
14.990,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.00,1166.6666666666667,True,0,0,0,0,0,0,23.75294117647059
